,category,id,question,type,flat list,test
6,resource,dbpedia_12020,What is the federated state located in the Weimar Republic?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
11,resource,dbpedia_1335,Which is the state and country of the Watergate scandal?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
24,resource,dbpedia_6019,Where does the holder of the position of Lech Kaczynski live?,"['dbo:Museum', 'dbo:Castle', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Museum' 'dbo:Castle' 'dbo:Building' 'dbo:ArchitecturalStructure'
 'dbo:Place' 'dbo:Location']",True
52,resource,dbpedia_6797,Name the underground station with the most tracks in Finland?,"['dbo:MetroStation', 'dbo:Station', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:MetroStation' 'dbo:Station' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
54,resource,dbpedia_4735,Which is the historical country of the diplomatic relation of Czechoslovakia?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
58,resource,dbpedia_21199,Where was WiZeefa founded ?,"['dbo:Country', 'dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
59,resource,dbpedia_9088,Which country is Wellington located?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
61,resource,dbpedia_16208,Who gave the {location of work} of {proprietor} of {Mein Kampf} ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
68,resource,dbpedia_4947,Give the name of galaxy with less apparent magnitude and was discovered by William Herschel?,"['dbo:Galaxy', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Galaxy' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
71,resource,dbpedia_4908,What is the sister city of the Badminton World Federation in garrison?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
74,resource,dbpedia_12607,Who is the partner city of Cologne whose government is headed by Willy Demeyer?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
87,resource,dbpedia_3191,WHO was the commonwealth participant of the north african campaign?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
93,resource,dbpedia_20239,Who is the builder of Presidio Santa Cruz de Terrenate ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
119,resource,dbpedia_18698,What municipalities are adjacent to Chne-Bougeries?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
123,resource,dbpedia_15498,"What is  the birthplace of Harald zur Hausen, that has a partner city which is in Campo Grande?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
125,resource,dbpedia_2594,What principality replaced the Ottoman Empire?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
133,resource,dbpedia_2928,Which state has the city that is the twin city of Geneva?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
135,resource,dbpedia_13882,Where did Nikolay Gumilev and Anna Akhmatova marry and why did their marriage end?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
144,resource,dbpedia_17854,What countries does Renata Tebaldi hold citizenship with?,"['dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Island' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
150,resource,dbpedia_22898,What is the nationality of Aishath Saffa ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
157,resource,dbpedia_22744,Where did the conflict take place where Louis Briere de I'Isle was a commander?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
164,resource,dbpedia_4898,What is the geotope with the lowest topographic isolation whose country is Germany ?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
165,resource,dbpedia_9292,Where did William Jones from the British Raj die?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
169,resource,dbpedia_20909,What is the result of the GazaIsrael conflict is also  the  place of the Qaqun?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
179,resource,dbpedia_9262,Which is the feast day for Saints Cyril and Methodius?,"['dbo:Village', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Village' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
181,resource,dbpedia_16225,"""Where is {home town} of {Mata Hari}, which has {partner town} is {Bordeaux} ?""","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
183,resource,dbpedia_20481,Which river flows through Central Washington?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
188,resource,dbpedia_20658,List the American MEditerranean Sea city is also the place of death of Laszlo Bellak ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
189,resource,dbpedia_21613,Which city has it's landmark as Cheasty Boulevard South?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
192,resource,dbpedia_17379,Tell me which is the administrative territorial entity of Kenya which contains the word nairobi in it's name?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
198,resource,dbpedia_13810,Which sovereign state has the highest speed limit?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
210,resource,dbpedia_15318,Which is the ancient civilization culture of Rome?,"['dbo:HistoricalRegion', 'dbo:Region', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:HistoricalRegion' 'dbo:Region' 'dbo:State' 'dbo:PopulatedPlace'
 'dbo:Place' 'dbo:Location']",True
213,resource,dbpedia_21078,What is the citizenship of the Sarah Kazemy and land of the Cervelle de canut,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
219,resource,dbpedia_19161,What is the nationality of Sune Agerschou ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
224,resource,dbpedia_8519,Which sovereign state shares a border with the Austrian Empire?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
233,resource,dbpedia_6570,Which asteroid with the shortest orbital period was discovered at the Nice Observatory?,"['dbo:Asteroid', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Asteroid' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
235,resource,dbpedia_4293,What is the {next job holder} in {West Germany} that is a {member of} an {Asian Development Bank}?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
241,resource,dbpedia_20417,"Where is Benjamin Franklin Terry buried, and US Route 59 has a junction?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
246,resource,dbpedia_14790,What Russian Orthodox monastery is in this diocese?,"['dbo:Monastery', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Monastery' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
254,resource,dbpedia_16466,Where Gregory I at Byzantine Empire dired?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
275,resource,dbpedia_14861,Which is in the endemism of Reunion Stonechat,"['dbo:Archipelago', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Archipelago' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
279,resource,dbpedia_14317,what is tributary of terrain feature of lesser antilles?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
281,resource,dbpedia_414,What is the connecting line of Chulalongkorn University?,"['dbo:RailwayLine', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:RailwayLine' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
284,resource,dbpedia_14056,What is the county seat of the work location of Ruth Olvera Nieto?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
290,resource,dbpedia_4177,Which war cemetery has the least memorial based burials?,"['dbo:Cemetery', 'dbo:Place', 'dbo:Location']",['dbo:Cemetery' 'dbo:Place' 'dbo:Location'],True
298,resource,dbpedia_23073,Which countries have places with more than two caves?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
299,resource,dbpedia_14647,Tell me {spiral galaxy} which start with the letter u,"['dbo:Galaxy', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Galaxy' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
311,resource,dbpedia_10758,which is place of birth of fatimah that is located in the administrative territorial entity is hejaz?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
334,resource,dbpedia_3388,Tell me about the state in the Confederation of the Rhine located in the administrative territorial entity of Weimar Republic.,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
344,resource,dbpedia_15992,Where does Shirley Chisholm work that is bordered by Arlington County?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
352,resource,dbpedia_11761,What is the currency for the Australian dollar used in the British Empire?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
355,resource,dbpedia_15044,What Saarland outcome is applied to the jurisdiction of indecent exposure?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
357,resource,dbpedia_1011,What is the country of the Bangalore?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
358,resource,dbpedia_9094,Name the year and the place on which Marilyn Monroe married to Joe DiMaggio,"['dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']",['dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location'],True
369,resource,dbpedia_22233,Where is the school which is the rival of Somerset Berkley Regional High?,"['dbo:Settlement', 'dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Settlement' 'dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
370,resource,dbpedia_8179,Which bridge was Zaha Hadid an architect for?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
379,resource,dbpedia_16324,WHICH IS THE TRIBUTARY OF HARBOUR OF BEIRUT,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
398,resource,dbpedia_21238,List the regions served by the company which serves in Pacific Ocean ?,"['dbo:Country', 'dbo:Continent', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:Continent' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
411,resource,dbpedia_21198,What water bodies have primary inflows sa Kemijoki?,"['dbo:Lake', 'dbo:Sea', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Lake' 'dbo:Sea' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
443,resource,dbpedia_16956,,"['dbo:Village', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Village' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
447,resource,dbpedia_2505,What organization does George Rudinger work at?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
448,resource,dbpedia_14185,Where did Alexander I of Yugoslavia in the French Third Republic die?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
450,resource,dbpedia_7569,tell me mountain name starts with z,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
456,resource,dbpedia_10243,What country is the North African Campaign a part of?,"['dbo:State', 'dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
465,resource,dbpedia_12244,Which is the church building for the Hungarian language?,"['dbo:Church', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Church' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
480,resource,dbpedia_10615,"What is the name of the steel bridge constructed by Irving Morrow which has the word ""bridge"" in its name?","['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
481,resource,dbpedia_22095, Giuseppe Bertello and Pietro Parolin are leaders of which place ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
483,resource,dbpedia_14342,Tell me constellation  whose name has the word volans in it.,"['dbo:Constellation', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Constellation' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
489,resource,dbpedia_7236,What are the Native American tribe in the United States which start with the letter tulalip,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
491,resource,dbpedia_11153,Where was the birthplace of Louis VI of France in the country seat of United Federation of Planets?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
495,resource,dbpedia_19296,Name the mountain which belongs to Sierra Nevada range and is located in Inyo National Forest?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
498,resource,dbpedia_1081,"What is the capital city twinned to Kiel that contains the word ""tallinn "" in its name","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
505,resource,dbpedia_14981,Give me the country where the 20th Century Fox headquarters known as Fox Plaza is located?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
513,resource,dbpedia_20031,Name the origins of the river with Quich Department as one of the origin ?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
523,resource,dbpedia_6435,Tell me highly urbanized city whose name has the word valenzuela in it.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
527,resource,dbpedia_4179,Where is the death place of Masaccio whose countries are municipio XII?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
544,resource,dbpedia_12294,What are the human settlement which start with the letter z,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
545,resource,dbpedia_10148,Was Gustav Mahler`s birth place located in the administrative territorial entity of Kalista ?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
